M,H,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,init_Tprime,tighten_steps,final_Tprime,min_maxL,round_of_min,max_maxL,round_of_max,avg_solve_ms,last_solve_ms,last_picked,alpha,eta,gamma,beta,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path,tprime_path
8,8,8,150,2,76,8,504,625861,0,YES,76,16,2,10,8,76,29,28,19.858,17.2721,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_8.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_8.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_8.txt
8,8,9,150,1,76,8,504,625861,0,YES,76,16,2,10,8,76,29,28,18.852,16.9782,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_9.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_9.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_9.txt
8,8,10,150,2,76,8,504,625861,0,YES,76,16,2,10,8,76,29,28,22.481,19.6868,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_10.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_10.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_10.txt
8,8,11,150,1,69,11,488,582255,0,YES,69,16,2,11,11,69,29,28,17.765,16.6368,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_11.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_11.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_11.txt
8,8,12,150,1,42,12,482,539022,0,YES,42,16,1,12,12,42,29,28,22.363,16.5806,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_12.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_12.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_12.txt
8,8,13,150,1,42,13,478,514534,0,YES,42,16,1,13,13,42,29,36,19.097,16.8721,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_13.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_13.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_13.txt
8,8,14,150,0,7,14,476,480336,0,YES,7,16,0,16,14,7,20,1,19.575,17.1138,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_14.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_14.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_14.txt
8,8,15,150,0,7,14,476,480336,0,YES,7,16,0,16,14,7,20,1,18.975,16.8483,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_15.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_15.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_15.txt
8,8,16,150,0,7,14,476,480336,0,YES,7,16,0,16,14,7,20,1,19.038,17.0475,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_16.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_16.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_16.txt
8,8,17,150,0,8,15,476,479343,0,YES,8,17,0,17,15,8,20,1,23.238,17.9615,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_8x8_T8-20/logs/soft_8x8_T_17.log,results_soft_20251030_135804/soft_8x8_T8-20/placement8x8_Col_1_T_17.txt,results_soft_20251030_135804/soft_8x8_T8-20/tprime_evolution_soft_8x8_T_17.txt
