M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
16,16,2,8,8,150,3,150,23,472,472000000,0,NO,NA,0,16,20,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_8.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_8.txt
16,16,2,8,9,150,3,150,23,472,472000000,0,NO,NA,0,16,19,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_9.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_9.txt
16,16,2,8,10,150,3,150,23,472,472000000,0,NO,NA,0,16,19,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_10.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_10.txt
16,16,2,8,11,150,3,150,23,472,472000000,0,NO,NA,0,16,18,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_11.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_11.txt
16,16,2,8,12,150,3,150,23,472,472000000,0,NO,NA,0,16,20,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_12.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_12.txt
16,16,2,8,13,150,3,150,23,472,472000000,0,NO,NA,0,16,17,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_13.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_13.txt
16,16,2,8,14,150,3,150,23,472,472000000,0,NO,NA,0,16,21,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_14.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_14.txt
16,16,2,8,15,150,3,150,23,472,472000000,0,NO,NA,0,16,19,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_15.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_15.txt
16,16,2,8,16,150,3,150,23,472,472000000,0,NO,NA,0,16,17,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_16.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_16.txt
16,16,2,8,17,150,3,150,23,472,472000000,0,NO,NA,0,17,19,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_17.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_17.txt
16,16,2,8,18,150,3,150,23,472,472000000,0,NO,NA,0,18,25,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_18.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_18.txt
16,16,2,8,19,150,3,150,23,472,472000000,0,NO,NA,0,19,19,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_19.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_19.txt
16,16,2,8,20,150,4,150,23,472,472000000,0,NO,NA,0,20,20,NA,NA,momentum,0.5,0.5,0.3,3.0,2.0,2.0,0.3,0.8,0.9,8,1000,1,1,1,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/logs/multicol_16x16_K2_T_20.log,results_multicol_16x16_20251123_121027/K2_16x16_T8-20/placement16_Col_2_T_20.txt
